bundle,type,place,date
com.wlingua.curso,education|apps_topselling_free,0,2020-12-06 07:14:52.767964
com.wlingua.curso,education|apps_topgrossing,0,2020-12-06 07:14:56.280516
com.wlingua.curso,education|apps_movers_shakers,0,2020-12-06 07:14:57.987892
com.wlingua.curso,education|apps_topselling_paid,0,2020-12-06 07:14:58.882127
com.quizlet.quizletandroid,education|apps_topselling_free,56,2020-12-06 07:17:54.061955
com.quizlet.quizletandroid,education|apps_topgrossing,28,2020-12-06 07:17:57.340702
com.quizlet.quizletandroid,education|apps_movers_shakers,0,2020-12-06 07:17:58.93038
com.quizlet.quizletandroid,education|apps_topselling_paid,0,2020-12-06 07:17:59.978112
com.memrise.android.memrisecompanion,education|apps_topselling_free,257,2020-12-06 07:20:44.212256
com.memrise.android.memrisecompanion,education|apps_topgrossing,9,2020-12-06 07:20:47.492712
com.memrise.android.memrisecompanion,education|apps_movers_shakers,0,2020-12-06 07:20:49.219333
com.memrise.android.memrisecompanion,education|apps_topselling_paid,0,2020-12-06 07:20:50.242447
com.busuu.android.enc,education|apps_topselling_free,70,2020-12-06 07:23:40.797456
com.busuu.android.enc,education|apps_topgrossing,8,2020-12-06 07:23:44.21217
com.busuu.android.enc,education|apps_movers_shakers,0,2020-12-06 07:23:45.799768
com.busuu.android.enc,education|apps_topselling_paid,0,2020-12-06 07:23:46.849295
com.duolingo,education|apps_topselling_free,10,2020-12-06 07:32:47.86924
com.duolingo,education|apps_topgrossing,4,2020-12-06 07:32:51.965873
com.duolingo,education|apps_movers_shakers,0,2020-12-06 07:32:53.560325
com.duolingo,education|apps_topselling_paid,0,2020-12-06 07:32:54.386359
me.mycake,education|apps_topselling_free,6,2020-12-06 07:35:00.608992
me.mycake,education|apps_topgrossing,0,2020-12-06 07:35:03.901128
me.mycake,education|apps_movers_shakers,0,2020-12-06 07:35:05.455196
me.mycake,education|apps_topselling_paid,0,2020-12-06 07:35:06.406319
com.lingualeo.android,education|apps_topselling_free,39,2020-12-06 07:37:54.485012
com.lingualeo.android,education|apps_topgrossing,5,2020-12-06 07:37:57.861149
com.lingualeo.android,education|apps_movers_shakers,11,2020-12-06 07:37:59.487321
com.lingualeo.android,education|apps_topselling_paid,0,2020-12-06 07:38:00.457273
air.com.rosettastone.mobile.CoursePlayer,education|apps_topselling_free,202,2020-12-07 07:08:43.236862
air.com.rosettastone.mobile.CoursePlayer,education|apps_topgrossing,22,2020-12-07 07:08:46.649014
air.com.rosettastone.mobile.CoursePlayer,education|apps_movers_shakers,0,2020-12-07 07:08:48.344433
air.com.rosettastone.mobile.CoursePlayer,education|apps_topselling_paid,0,2020-12-07 07:08:49.235988
com.ewa.ewaapp,education|apps_topselling_free,8,2020-12-07 07:11:35.875561
com.ewa.ewaapp,education|apps_topgrossing,2,2020-12-07 07:11:39.257319
com.ewa.ewaapp,education|apps_movers_shakers,0,2020-12-07 07:11:40.802066
com.ewa.ewaapp,education|apps_topselling_paid,0,2020-12-07 07:11:41.787025
com.atistudios.mondly.languages,education|apps_topselling_free,334,2020-12-07 07:14:37.789736
com.atistudios.mondly.languages,education|apps_topgrossing,26,2020-12-07 07:14:41.100794
com.atistudios.mondly.languages,education|apps_movers_shakers,0,2020-12-07 07:14:42.729807
com.atistudios.mondly.languages,education|apps_topselling_paid,0,2020-12-07 07:14:43.670957
com.wlingua.curso,education|apps_topselling_free,0,2020-12-07 07:17:29.587695
com.wlingua.curso,education|apps_topgrossing,0,2020-12-07 07:17:32.836618
com.wlingua.curso,education|apps_movers_shakers,0,2020-12-07 07:17:34.330637
com.wlingua.curso,education|apps_topselling_paid,0,2020-12-07 07:17:35.303767
me.mycake,education|apps_topselling_free,5,2020-12-07 07:37:46.65689
me.mycake,education|apps_topgrossing,0,2020-12-07 07:37:49.977728
me.mycake,education|apps_movers_shakers,30,2020-12-07 07:37:51.511373
me.mycake,education|apps_topselling_paid,0,2020-12-07 07:37:52.415075
com.lingualeo.android,education|apps_topselling_free,32,2020-12-07 07:40:47.23969
com.lingualeo.android,education|apps_topgrossing,5,2020-12-07 07:40:50.548367
com.lingualeo.android,education|apps_movers_shakers,22,2020-12-07 07:40:52.127051
com.lingualeo.android,education|apps_topselling_paid,0,2020-12-07 07:40:53.173862
air.com.rosettastone.mobile.CoursePlayer,education|apps_topselling_free,196,2020-12-08 07:11:37.36341
air.com.rosettastone.mobile.CoursePlayer,education|apps_topgrossing,29,2020-12-08 07:11:41.13764
air.com.rosettastone.mobile.CoursePlayer,education|apps_movers_shakers,0,2020-12-08 07:11:42.412271
air.com.rosettastone.mobile.CoursePlayer,education|apps_topselling_paid,0,2020-12-08 07:11:43.518502
com.ewa.ewaapp,education|apps_topselling_free,6,2020-12-08 07:14:18.633709
com.ewa.ewaapp,education|apps_topgrossing,3,2020-12-08 07:14:22.402611
com.ewa.ewaapp,education|apps_movers_shakers,0,2020-12-08 07:14:23.724239
com.ewa.ewaapp,education|apps_topselling_paid,0,2020-12-08 07:14:24.756535
com.atistudios.mondly.languages,education|apps_topselling_free,335,2020-12-08 07:17:25.879302
com.atistudios.mondly.languages,education|apps_topgrossing,21,2020-12-08 07:17:29.457794
com.atistudios.mondly.languages,education|apps_movers_shakers,0,2020-12-08 07:17:30.979728
com.atistudios.mondly.languages,education|apps_topselling_paid,0,2020-12-08 07:17:32.118091
com.wlingua.curso,education|apps_topselling_free,0,2020-12-08 07:20:09.928356
com.wlingua.curso,education|apps_topgrossing,0,2020-12-08 07:20:13.651171
com.wlingua.curso,education|apps_movers_shakers,0,2020-12-08 07:20:14.923919
com.wlingua.curso,education|apps_topselling_paid,0,2020-12-08 07:20:15.837813
com.quizlet.quizletandroid,education|apps_topselling_free,58,2020-12-07 07:20:31.486623
com.quizlet.quizletandroid,education|apps_topgrossing,28,2020-12-07 07:20:35.444652
com.quizlet.quizletandroid,education|apps_movers_shakers,0,2020-12-07 07:20:37.000721
com.quizlet.quizletandroid,education|apps_topselling_paid,0,2020-12-07 07:20:38.020549
com.quizlet.quizletandroid,education|apps_topselling_free,54,2020-12-08 07:23:15.310381
com.quizlet.quizletandroid,education|apps_topgrossing,20,2020-12-08 07:23:18.864962
com.quizlet.quizletandroid,education|apps_movers_shakers,0,2020-12-08 07:23:20.281447
com.quizlet.quizletandroid,education|apps_topselling_paid,0,2020-12-08 07:23:21.360326
com.memrise.android.memrisecompanion,education|apps_topselling_free,250,2020-12-07 07:23:27.350859
